Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,,,
Yemen,2022,1st,111.7,9.1,10.0,9.1,9.9,8.0,6.7,9.9,9.9,9.9,9.9,9.9,9.4,,,
Somalia,2022,2nd,110.5,9.4,10.0,8.4,9.1,9.0,8.7,9.5,9.9,8.8,10.0,8.7,9.0,,,
Syria,2022,3rd,108.4,9.5,9.9,9.4,9.3,6.8,8.1,10.0,9.3,9.4,7.3,9.4,10.0,,,
South Sudan,2022,3rd,108.4,9.8,9.2,8.5,8.9,8.7,6.6,9.6,9.8,8.6,9.6,10.0,9.1,,,
Central African Republic,2022,5th,108.1,8.3,9.7,8.4,8.2,9.7,6.5,9.2,10.0,9.4,9.2,9.8,9.7,,,
Congo Democratic Republic,2022,6th,107.3,8.7,9.6,9.3,8.3,8.4,6.7,9.3,9.5,9.3,9.7,9.7,8.8,,,
Sudan,2022,7th,107.1,8.2,9.6,9.6,9.2,8.4,7.8,9.3,8.9,9.1,9.1,9.5,8.4,,,
Afghanistan,2022,8th,105.9,10.0,8.7,8.2,9.3,8.2,8.0,9.2,9.9,8.4,9.1,8.9,8.0,,,
Chad,2022,9th,105.7,8.6,9.5,8.4,8.7,8.8,8.0,9.4,9.7,8.3,9.6,9.1,7.6,,,
Myanmar,2022,10th,100.0,9.0,9.0,9.6,7.5,7.2,6.4,9.1,9.0,9.2,7.3,9.1,7.6,,,
Haiti,2022,11th,99.7,6.3,9.6,5.4,8.6,9.3,8.2,9.8,9.7,7.4,8.7,7.2,9.5,,,
Guinea,2022,12th,99.6,9.0,10.0,9.7,7.9,7.6,6.4,10.0,9.7,7.0,9.1,6.5,6.7,,,
Ethiopia,2022,13th,99.3,8.5,9.2,9.2,6.0,7.0,6.3,8.5,8.6,8.7,9.7,9.2,8.4,,,
Mali,2022,14th,98.6,9.7,7.2,8.2,7.2,7.3,7.8,8.5,8.9,7.2,8.8,8.4,9.4,,,
Zimbabwe,2022,15th,97.8,8.7,9.9,5.8,9.1,7.7,7.0,8.9,8.7,8.1,9.0,7.9,7.0,,,
Nigeria,2022,16th,97.2,8.9,9.3,8.9,8.3,8.0,6.6,8.5,9.1,8.4,9.5,6.3,5.4,,,
Cameroon,2022,17th,96.0,8.4,9.3,8.4,6.5,7.7,7.2,8.7,8.3,7.6,8.8,8.4,6.7,,,
Eritrea,2022,18th,95.9,5.9,8.7,8.6,7.4,8.2,8.5,9.6,8.0,9.0,8.0,7.1,6.9,,,
Burundi,2022,19th,95.4,7.7,8.5,7.0,8.3,7.1,5.5,9.4,7.9,8.9,8.9,8.3,7.9,,,
Niger,2022,20th,95.2,8.6,9.6,7.6,6.5,7.9,6.9,6.8,9.6,7.0,8.8,8.2,7.7,,,
